##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	ERR550643_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	503810
Total Bases	118.6 Mbp
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	66
>>END_MODULE
>>Adapter Content	pass
#Position	Illumina Universal Adapter	Illumina Small RNA 3' Adapter	Illumina Small RNA 5' Adapter	Nextera Transposase Sequence	PolyA	PolyG
160-164	0.0	0.0013894126754133503	0.0029773128758857504	1.9848752505905002E-4	0.013775034239098071	0.7328159425180127
165-169	1.9848752505905002E-4	0.0013894126754133503	0.0029773128758857504	1.9848752505905002E-4	0.015204144419523233	0.7963319505369088
170-174	1.9848752505905002E-4	0.0013894126754133503	0.0029773128758857504	1.9848752505905002E-4	0.016712649609972017	0.8577042932851671
175-179	1.9848752505905002E-4	0.0015879002004724001	0.003215497905956611	3.1758004009448007E-4	0.019134197415692424	0.915146583037256
180-184	1.9848752505905002E-4	0.0017863877255314506	0.0035727754510629013	3.9697505011810003E-4	0.021317560191341973	0.9769159008356325
185-189	1.9848752505905002E-4	0.0019848752505905003	0.0035727754510629013	3.9697505011810003E-4	0.024255175562215913	1.0393600762192097
190-194	1.9848752505905002E-4	0.0019848752505905003	0.0035727754510629013	3.9697505011810003E-4	0.026954605903018992	1.108036759889641
195-199	1.9848752505905002E-4	0.0019848752505905003	0.003890355491157381	3.9697505011810003E-4	0.030051011293940177	1.1802068240011114
200-204	1.9848752505905002E-4	0.0019848752505905003	0.0039697505011810005	3.9697505011810003E-4	0.03354439173497946	1.2565054286338104
205-209	1.9848752505905002E-4	0.0019848752505905003	0.00408884301621643	3.9697505011810003E-4	0.037950814791290366	1.3430459895595561
210-214	1.9848752505905002E-4	0.0019848752505905003	0.00416823802624005	3.9697505011810003E-4	0.04386574303805006	1.4430440046843056
215-219	1.9848752505905002E-4	0.0019848752505905003	0.0042476330362636715	3.9697505011810003E-4	0.04926460371965622	1.5441932474543973
220-224	1.9848752505905002E-4	0.0019848752505905003	0.004366725551299101	3.9697505011810003E-4	0.05656894464182925	1.6559814215676547
225-229	1.9848752505905002E-4	0.0019848752505905003	0.004366725551299101	3.9697505011810003E-4	0.06486572318929755	1.7865465155514975
230-234	1.9848752505905002E-4	0.0019848752505905003	0.00472400309640539	5.954625751771501E-4	0.07153490403128163	1.922113495166829
235-239	1.9848752505905002E-4	0.0019848752505905003	0.004962188126476251	5.954625751771501E-4	0.07903773247851373	2.0626426629086363
240	1.9848752505905004E-4	0.0019848752505905003	0.004962188126476251	5.954625751771501E-4	0.08475417320021436	2.1516047716401023
>>END_MODULE
